#           k/h    P           
    0.10000E-03    0.38099E+03
    0.10202E-03    0.38869E+03
    0.10408E-03    0.39653E+03
    0.10618E-03    0.40454E+03
    0.10833E-03    0.41271E+03
    0.11052E-03    0.42104E+03
    0.11275E-03    0.42954E+03
    0.11503E-03    0.43821E+03
    0.11735E-03    0.44706E+03
    0.11972E-03    0.45608E+03
    0.12214E-03    0.46529E+03
    0.12461E-03    0.47468E+03
    0.12712E-03    0.48426E+03
    0.12969E-03    0.49404E+03
    0.13231E-03    0.50401E+03
    0.13499E-03    0.51418E+03
    0.13771E-03    0.52456E+03
    0.14049E-03    0.53514E+03
    0.14333E-03    0.54594E+03
    0.14623E-03    0.55696E+03
    0.14918E-03    0.56820E+03
    0.15220E-03    0.57966E+03
    0.15527E-03    0.59136E+03
    0.15841E-03    0.60329E+03
    0.16161E-03    0.61546E+03
    0.16487E-03    0.62788E+03
    0.16820E-03    0.64055E+03
    0.17160E-03    0.65347E+03
    0.17507E-03    0.66665E+03
    0.17860E-03    0.68009E+03
    0.18221E-03    0.69381E+03
    0.18589E-03    0.70780E+03
    0.18965E-03    0.72207E+03
    0.19348E-03    0.73663E+03
    0.19739E-03    0.75149E+03
    0.20138E-03    0.76664E+03
    0.20544E-03    0.78209E+03
    0.20959E-03    0.79786E+03
    0.21383E-03    0.81394E+03
    0.21815E-03    0.83034E+03
    0.22255E-03    0.84708E+03
    0.22705E-03    0.86415E+03
    0.23164E-03    0.88156E+03
    0.23632E-03    0.89932E+03
    0.24109E-03    0.91743E+03
    0.24596E-03    0.93591E+03
    0.25093E-03    0.95476E+03
    0.25600E-03    0.97399E+03
    0.26117E-03    0.99360E+03
    0.26645E-03    0.10136E+04
    0.27183E-03    0.10340E+04
    0.27732E-03    0.10548E+04
    0.28292E-03    0.10760E+04
    0.28864E-03    0.10977E+04
    0.29447E-03    0.11198E+04
    0.30042E-03    0.11423E+04
    0.30649E-03    0.11653E+04
    0.31268E-03    0.11887E+04
    0.31899E-03    0.12126E+04
    0.32544E-03    0.12370E+04
    0.33201E-03    0.12618E+04
    0.33872E-03    0.12872E+04
    0.34556E-03    0.13130E+04
    0.35254E-03    0.13394E+04
    0.35966E-03    0.13663E+04
    0.36693E-03    0.13937E+04
    0.37434E-03    0.14217E+04
    0.38190E-03    0.14502E+04
    0.38962E-03    0.14793E+04
    0.39749E-03    0.15090E+04
    0.40552E-03    0.15392E+04
    0.41371E-03    0.15701E+04
    0.42207E-03    0.16015E+04
    0.43060E-03    0.16336E+04
    0.43929E-03    0.16663E+04
    0.44817E-03    0.16997E+04
    0.45722E-03    0.17337E+04
    0.46646E-03    0.17684E+04
    0.47588E-03    0.18037E+04
    0.48550E-03    0.18398E+04
    0.49530E-03    0.18766E+04
    0.50531E-03    0.19140E+04
    0.51552E-03    0.19523E+04
    0.52593E-03    0.19912E+04
    0.53656E-03    0.20309E+04
    0.54739E-03    0.20714E+04
    0.55845E-03    0.21127E+04
    0.56973E-03    0.21548E+04
    0.58124E-03    0.21977E+04
    0.59299E-03    0.22415E+04
    0.60496E-03    0.22860E+04
    0.61719E-03    0.23315E+04
    0.62965E-03    0.23778E+04
    0.64237E-03    0.24250E+04
    0.65535E-03    0.24732E+04
    0.66859E-03    0.25222E+04
    0.68210E-03    0.25722E+04
    0.69588E-03    0.26232E+04
    0.70993E-03    0.26751E+04
    0.72427E-03    0.27280E+04
    0.73891E-03    0.27819E+04
    0.75383E-03    0.28369E+04
    0.76906E-03    0.28929E+04
    0.78460E-03    0.29500E+04
    0.80045E-03    0.30081E+04
    0.81662E-03    0.30674E+04
    0.83311E-03    0.31277E+04
    0.84994E-03    0.31892E+04
    0.86711E-03    0.32519E+04
    0.88463E-03    0.33157E+04
    0.90250E-03    0.33807E+04
    0.92073E-03    0.34470E+04
    0.93933E-03    0.35144E+04
    0.95831E-03    0.35831E+04
    0.97767E-03    0.36531E+04
    0.99742E-03    0.37244E+04
    0.10176E-02    0.37970E+04
    0.10381E-02    0.38710E+04
    0.10591E-02    0.39463E+04
    0.10805E-02    0.40229E+04
    0.11023E-02    0.41010E+04
    0.11246E-02    0.41805E+04
    0.11473E-02    0.42614E+04
    0.11705E-02    0.43438E+04
    0.11941E-02    0.44277E+04
    0.12182E-02    0.45130E+04
    0.12429E-02    0.45999E+04
    0.12680E-02    0.46884E+04
    0.12936E-02    0.47784E+04
    0.13197E-02    0.48700E+04
    0.13464E-02    0.49632E+04
    0.13736E-02    0.50580E+04
    0.14013E-02    0.51546E+04
    0.14296E-02    0.52527E+04
    0.14585E-02    0.53526E+04
    0.14880E-02    0.54542E+04
    0.15180E-02    0.55576E+04
    0.15487E-02    0.56627E+04
    0.15800E-02    0.57696E+04
    0.16119E-02    0.58783E+04
    0.16445E-02    0.59888E+04
    0.16777E-02    0.61012E+04
    0.17116E-02    0.62155E+04
    0.17462E-02    0.63316E+04
    0.17814E-02    0.64497E+04
    0.18174E-02    0.65696E+04
    0.18541E-02    0.66916E+04
    0.18916E-02    0.68155E+04
    0.19298E-02    0.69414E+04
    0.19688E-02    0.70692E+04
    0.20086E-02    0.71991E+04
    0.20491E-02    0.73311E+04
    0.20905E-02    0.74651E+04
    0.21328E-02    0.76012E+04
    0.21758E-02    0.77393E+04
    0.22198E-02    0.78796E+04
    0.22646E-02    0.80220E+04
    0.23104E-02    0.81665E+04
    0.23571E-02    0.83131E+04
    0.24047E-02    0.84620E+04
    0.24533E-02    0.86129E+04
    0.25028E-02    0.87661E+04
    0.25534E-02    0.89214E+04
    0.26050E-02    0.90789E+04
    0.26576E-02    0.92386E+04
    0.27113E-02    0.94005E+04
    0.27660E-02    0.95647E+04
    0.28219E-02    0.97310E+04
    0.28789E-02    0.98995E+04
    0.29371E-02    0.10070E+05
    0.29964E-02    0.10243E+05
    0.30569E-02    0.10418E+05
    0.31187E-02    0.10596E+05
    0.31817E-02    0.10775E+05
    0.32460E-02    0.10957E+05
    0.33115E-02    0.11141E+05
    0.33784E-02    0.11327E+05
    0.34467E-02    0.11516E+05
    0.35163E-02    0.11706E+05
    0.35874E-02    0.11899E+05
    0.36598E-02    0.12093E+05
    0.37338E-02    0.12290E+05
    0.38092E-02    0.12489E+05
    0.38861E-02    0.12690E+05
    0.39646E-02    0.12893E+05
    0.40447E-02    0.13097E+05
    0.41264E-02    0.13304E+05
    0.42098E-02    0.13513E+05
    0.42948E-02    0.13724E+05
    0.43816E-02    0.13936E+05
    0.44701E-02    0.14150E+05
    0.45604E-02    0.14366E+05
    0.46525E-02    0.14584E+05
    0.47465E-02    0.14803E+05
    0.48424E-02    0.15024E+05
    0.49402E-02    0.15246E+05
    0.50400E-02    0.15470E+05
    0.51419E-02    0.15695E+05
    0.52457E-02    0.15922E+05
    0.53517E-02    0.16149E+05
    0.54598E-02    0.16378E+05
    0.55701E-02    0.16608E+05
    0.56826E-02    0.16839E+05
    0.57974E-02    0.17071E+05
    0.59145E-02    0.17304E+05
    0.60340E-02    0.17537E+05
    0.61559E-02    0.17771E+05
    0.62803E-02    0.18005E+05
    0.64072E-02    0.18240E+05
    0.65366E-02    0.18475E+05
    0.66686E-02    0.18710E+05
    0.68033E-02    0.18945E+05
    0.69408E-02    0.19179E+05
    0.70810E-02    0.19414E+05
    0.72240E-02    0.19648E+05
    0.73700E-02    0.19882E+05
    0.75189E-02    0.20114E+05
    0.76708E-02    0.20346E+05
    0.78257E-02    0.20577E+05
    0.79838E-02    0.20807E+05
    0.81451E-02    0.21036E+05
    0.83096E-02    0.21263E+05
    0.84775E-02    0.21488E+05
    0.86488E-02    0.21712E+05
    0.88235E-02    0.21933E+05
    0.90017E-02    0.22152E+05
    0.91836E-02    0.22368E+05
    0.93691E-02    0.22581E+05
    0.95583E-02    0.22791E+05
    0.97514E-02    0.22998E+05
    0.99484E-02    0.23200E+05
    0.10149E-01    0.23399E+05
    0.10354E-01    0.23594E+05
    0.10564E-01    0.23785E+05
    0.10777E-01    0.23970E+05
    0.10995E-01    0.24152E+05
    0.11217E-01    0.24328E+05
    0.11443E-01    0.24499E+05
    0.11675E-01    0.24665E+05
    0.11910E-01    0.24825E+05
    0.12151E-01    0.24979E+05
    0.12397E-01    0.25128E+05
    0.12647E-01    0.25270E+05
    0.12902E-01    0.25405E+05
    0.13163E-01    0.25532E+05
    0.13429E-01    0.25652E+05
    0.13700E-01    0.25764E+05
    0.13977E-01    0.25868E+05
    0.14259E-01    0.25962E+05
    0.14547E-01    0.26048E+05
    0.14841E-01    0.26123E+05
    0.15141E-01    0.26189E+05
    0.15447E-01    0.26245E+05
    0.15759E-01    0.26291E+05
    0.16077E-01    0.26326E+05
    0.16402E-01    0.26351E+05
    0.16734E-01    0.26364E+05
    0.17072E-01    0.26367E+05
    0.17416E-01    0.26358E+05
    0.17768E-01    0.26339E+05
    0.18127E-01    0.26307E+05
    0.18493E-01    0.26264E+05
    0.18867E-01    0.26209E+05
    0.19248E-01    0.26142E+05
    0.19637E-01    0.26062E+05
    0.20034E-01    0.25970E+05
    0.20438E-01    0.25865E+05
    0.20851E-01    0.25747E+05
    0.21272E-01    0.25615E+05
    0.21702E-01    0.25471E+05
    0.22141E-01    0.25313E+05
    0.22588E-01    0.25143E+05
    0.23044E-01    0.24959E+05
    0.23510E-01    0.24763E+05
    0.23985E-01    0.24555E+05
    0.24469E-01    0.24335E+05
    0.24964E-01    0.24103E+05
    0.25468E-01    0.23859E+05
    0.25982E-01    0.23604E+05
    0.26507E-01    0.23338E+05
    0.27043E-01    0.23062E+05
    0.27589E-01    0.22776E+05
    0.28146E-01    0.22482E+05
    0.28715E-01    0.22179E+05
    0.29295E-01    0.21868E+05
    0.29887E-01    0.21551E+05
    0.30490E-01    0.21226E+05
    0.31106E-01    0.20897E+05
    0.31735E-01    0.20562E+05
    0.32376E-01    0.20224E+05
    0.33030E-01    0.19883E+05
    0.33697E-01    0.19540E+05
    0.34378E-01    0.19196E+05
    0.35072E-01    0.18851E+05
    0.35781E-01    0.18508E+05
    0.36504E-01    0.18167E+05
    0.37241E-01    0.17829E+05
    0.37993E-01    0.17495E+05
    0.38761E-01    0.17166E+05
    0.39544E-01    0.16843E+05
    0.40343E-01    0.16526E+05
    0.41158E-01    0.16217E+05
    0.41989E-01    0.15915E+05
    0.42838E-01    0.15620E+05
    0.43703E-01    0.15335E+05
    0.44586E-01    0.15058E+05
    0.45486E-01    0.14792E+05
    0.46405E-01    0.14538E+05
    0.47343E-01    0.14296E+05
    0.48299E-01    0.14068E+05
    0.49275E-01    0.13851E+05
    0.50270E-01    0.13644E+05
    0.51286E-01    0.13447E+05
    0.52322E-01    0.13258E+05
    0.53379E-01    0.13076E+05
    0.54457E-01    0.12902E+05
    0.55557E-01    0.12734E+05
    0.56680E-01    0.12573E+05
    0.57825E-01    0.12417E+05
    0.58993E-01    0.12263E+05
    0.60184E-01    0.12111E+05
    0.61400E-01    0.11957E+05
    0.62641E-01    0.11801E+05
