#    L    TT             EE             TE          
     2    0.97033E+03    0.43955E-01    0.29064E+01
     3    0.92128E+03    0.77732E-01    0.37743E+01
     4    0.87094E+03    0.94729E-01    0.40024E+01
     5    0.83106E+03    0.91652E-01    0.38187E+01
     6    0.80195E+03    0.74332E-01    0.34288E+01
     7    0.78224E+03    0.51939E-01    0.29539E+01
     8    0.76976E+03    0.32119E-01    0.24621E+01
     9    0.76281E+03    0.18614E-01    0.20114E+01
    10    0.76024E+03    0.11520E-01    0.16393E+01
    11    0.76104E+03    0.89081E-02    0.13587E+01
    12    0.76531E+03    0.81637E-02    0.11718E+01
    13    0.77129E+03    0.76787E-02    0.10685E+01
    14    0.77828E+03    0.70238E-02    0.10347E+01
    15    0.78663E+03    0.64198E-02    0.10546E+01
    16    0.79670E+03    0.61580E-02    0.11120E+01
    17    0.80825E+03    0.63615E-02    0.11877E+01
    18    0.82025E+03    0.68717E-02    0.12657E+01
    19    0.83381E+03    0.74195E-02    0.13382E+01
    20    0.84750E+03    0.78220E-02    0.13975E+01
    21    0.86150E+03    0.80822E-02    0.14429E+01
    22    0.87587E+03    0.83420E-02    0.14762E+01
    23    0.89042E+03    0.87790E-02    0.15017E+01
    24    0.90522E+03    0.95142E-02    0.15242E+01
    25    0.92030E+03    0.10576E-01    0.15475E+01
    26    0.93552E+03    0.11926E-01    0.15758E+01
    27    0.95105E+03    0.13507E-01    0.16084E+01
    28    0.96667E+03    0.15293E-01    0.16447E+01
    29    0.98255E+03    0.17287E-01    0.16834E+01
    30    0.99871E+03    0.19506E-01    0.17215E+01
    31    0.10149E+04    0.21956E-01    0.17560E+01
    32    0.10314E+04    0.24619E-01    0.17838E+01
    33    0.10481E+04    0.27460E-01    0.18013E+01
    34    0.10651E+04    0.30460E-01    0.18063E+01
    35    0.10823E+04    0.33617E-01    0.17990E+01
    36    0.10996E+04    0.36953E-01    0.17791E+01
    37    0.11170E+04    0.40506E-01    0.17477E+01
    38    0.11347E+04    0.44318E-01    0.17076E+01
    39    0.11527E+04    0.48383E-01    0.16595E+01
    40    0.11708E+04    0.52690E-01    0.16033E+01
    41    0.11891E+04    0.57236E-01    0.15388E+01
    42    0.12074E+04    0.62035E-01    0.14657E+01
    43    0.12258E+04    0.67102E-01    0.13839E+01
    44    0.12443E+04    0.72439E-01    0.12938E+01
    45    0.12630E+04    0.78058E-01    0.11964E+01
    46    0.12821E+04    0.83967E-01    0.10898E+01
    47    0.13013E+04    0.90147E-01    0.97277E+00
    48    0.13206E+04    0.96576E-01    0.84683E+00
    49    0.13399E+04    0.10321E+00    0.71280E+00
    50    0.13596E+04    0.11001E+00    0.56478E+00
    51    0.13794E+04    0.11692E+00    0.39637E+00
    52    0.13996E+04    0.12406E+00    0.20497E+00
    53    0.14197E+04    0.13161E+00   -0.92391E-02
    54    0.14398E+04    0.13961E+00   -0.23810E+00
    55    0.14599E+04    0.14806E+00   -0.47334E+00
    56    0.14804E+04    0.15685E+00   -0.71382E+00
    57    0.15012E+04    0.16584E+00   -0.96069E+00
    58    0.15224E+04    0.17501E+00   -0.12169E+01
    59    0.15436E+04    0.18436E+00   -0.14853E+01
    60    0.15650E+04    0.19389E+00   -0.17676E+01
    61    0.15869E+04    0.20368E+00   -0.20645E+01
    62    0.16087E+04    0.21374E+00   -0.23770E+01
    63    0.16305E+04    0.22406E+00   -0.27054E+01
    64    0.16527E+04    0.23471E+00   -0.30506E+01
    65    0.16749E+04    0.24568E+00   -0.34124E+01
    66    0.16974E+04    0.25694E+00   -0.37886E+01
    67    0.17200E+04    0.26849E+00   -0.41756E+01
    68    0.17431E+04    0.28034E+00   -0.45709E+01
    69    0.17664E+04    0.29243E+00   -0.49721E+01
    70    0.17901E+04    0.30478E+00   -0.53800E+01
    71    0.18139E+04    0.31736E+00   -0.57966E+01
    72    0.18380E+04    0.33017E+00   -0.62241E+01
    73    0.18622E+04    0.34317E+00   -0.66641E+01
    74    0.18865E+04    0.35638E+00   -0.71169E+01
    75    0.19110E+04    0.36982E+00   -0.75823E+01
    76    0.19357E+04    0.38351E+00   -0.80603E+01
    77    0.19606E+04    0.39742E+00   -0.85507E+01
    78    0.19859E+04    0.41156E+00   -0.90547E+01
    79    0.20112E+04    0.42587E+00   -0.95679E+01
    80    0.20369E+04    0.44034E+00   -0.10092E+02
    81    0.20628E+04    0.45490E+00   -0.10626E+02
    82    0.20891E+04    0.46957E+00   -0.11170E+02
    83    0.21155E+04    0.48432E+00   -0.11723E+02
    84    0.21423E+04    0.49915E+00   -0.12284E+02
    85    0.21692E+04    0.51404E+00   -0.12854E+02
    86    0.21963E+04    0.52900E+00   -0.13432E+02
    87    0.22239E+04    0.54398E+00   -0.14016E+02
    88    0.22515E+04    0.55901E+00   -0.14607E+02
    89    0.22794E+04    0.57406E+00   -0.15206E+02
    90    0.23076E+04    0.58909E+00   -0.15809E+02
    91    0.23359E+04    0.60410E+00   -0.16417E+02
    92    0.23645E+04    0.61907E+00   -0.17030E+02
    93    0.23933E+04    0.63399E+00   -0.17646E+02
    94    0.24223E+04    0.64883E+00   -0.18266E+02
    95    0.24515E+04    0.66359E+00   -0.18890E+02
    96    0.24807E+04    0.67827E+00   -0.19516E+02
    97    0.25104E+04    0.69284E+00   -0.20145E+02
    98    0.25403E+04    0.70731E+00   -0.20775E+02
    99    0.25703E+04    0.72164E+00   -0.21408E+02
   100    0.26005E+04    0.73584E+00   -0.22040E+02
   101    0.26309E+04    0.74997E+00   -0.22674E+02
   102    0.26619E+04    0.76387E+00   -0.23308E+02
   103    0.26927E+04    0.77763E+00   -0.23943E+02
   104    0.27238E+04    0.79126E+00   -0.24576E+02
   105    0.27551E+04    0.80467E+00   -0.25209E+02
   106    0.27866E+04    0.81796E+00   -0.25840E+02
   107    0.28180E+04    0.83096E+00   -0.26469E+02
   108    0.28498E+04    0.84376E+00   -0.27097E+02
   109    0.28817E+04    0.85630E+00   -0.27721E+02
   110    0.29138E+04    0.86856E+00   -0.28341E+02
