#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.103834E-04   0.199484E+08   0.199484E+08   0.265841E+08   0.265837E+08   0.000000E+00   0.199484E+08   0.199484E+08   0.199563E+08  -0.470097E+00   0.103672E+08   0.103672E+08   0.585199E+01
   0.126280E-04   0.199484E+08   0.199484E+08   0.265774E+08   0.265768E+08   0.000000E+00   0.199484E+08   0.199484E+08   0.199563E+08  -0.470097E+00   0.103672E+08   0.103672E+08   0.711655E+01
   0.153578E-04   0.199484E+08   0.199484E+08   0.265676E+08   0.265667E+08   0.000000E+00   0.199484E+08   0.199484E+08   0.199562E+08  -0.470096E+00   0.103672E+08   0.103672E+08   0.865410E+01
   0.186776E-04   0.199484E+08   0.199484E+08   0.265531E+08   0.265518E+08   0.000000E+00   0.199484E+08   0.199484E+08   0.199562E+08  -0.470095E+00   0.103672E+08   0.103672E+08   0.105234E+02
   0.227151E-04   0.199483E+08   0.199483E+08   0.265316E+08   0.265296E+08   0.000000E+00   0.199483E+08   0.199483E+08   0.199562E+08  -0.470094E+00   0.103672E+08   0.103672E+08   0.127955E+02
   0.276254E-04   0.199483E+08   0.199483E+08   0.264998E+08   0.264970E+08   0.000000E+00   0.199483E+08   0.199483E+08   0.199561E+08  -0.470092E+00   0.103671E+08   0.103671E+08   0.155568E+02
   0.335971E-04   0.199482E+08   0.199482E+08   0.264530E+08   0.264487E+08   0.000000E+00   0.199482E+08   0.199482E+08   0.199560E+08  -0.470089E+00   0.103671E+08   0.103671E+08   0.189111E+02
   0.408598E-04   0.199480E+08   0.199480E+08   0.263838E+08   0.263775E+08   0.000000E+00   0.199480E+08   0.199480E+08   0.199558E+08  -0.470085E+00   0.103670E+08   0.103670E+08   0.229837E+02
   0.496923E-04   0.199478E+08   0.199478E+08   0.262817E+08   0.262725E+08   0.000000E+00   0.199478E+08   0.199478E+08   0.199556E+08  -0.470079E+00   0.103669E+08   0.103669E+08   0.279245E+02
   0.604342E-04   0.199475E+08   0.199475E+08   0.261314E+08   0.261178E+08   0.000000E+00   0.199475E+08   0.199475E+08   0.199552E+08  -0.470070E+00   0.103668E+08   0.103667E+08   0.339113E+02
   0.734982E-04   0.199471E+08   0.199471E+08   0.259106E+08   0.258906E+08   0.000000E+00   0.199471E+08   0.199471E+08   0.199547E+08  -0.470057E+00   0.103665E+08   0.103665E+08   0.411529E+02
   0.893861E-04   0.199465E+08   0.199464E+08   0.255872E+08   0.255579E+08   0.000000E+00   0.199464E+08   0.199464E+08   0.199540E+08  -0.470037E+00   0.103662E+08   0.103662E+08   0.498895E+02
   0.108709E-03   0.199455E+08   0.199454E+08   0.251155E+08   0.250729E+08   0.000000E+00   0.199455E+08   0.199455E+08   0.199529E+08  -0.470008E+00   0.103657E+08   0.103656E+08   0.603892E+02
   0.132208E-03   0.199441E+08   0.199440E+08   0.244326E+08   0.243710E+08   0.000000E+00   0.199441E+08   0.199441E+08   0.199513E+08  -0.469966E+00   0.103649E+08   0.103649E+08   0.729354E+02
