#           k/h    P           
    0.10000E-03    0.52187E+03
    0.10202E-03    0.53240E+03
    0.10408E-03    0.54315E+03
    0.10618E-03    0.55411E+03
    0.10833E-03    0.56530E+03
    0.11052E-03    0.57671E+03
    0.11275E-03    0.58835E+03
    0.11503E-03    0.60023E+03
    0.11735E-03    0.61234E+03
    0.11972E-03    0.62470E+03
    0.12214E-03    0.63731E+03
    0.12461E-03    0.65017E+03
    0.12712E-03    0.66329E+03
    0.12969E-03    0.67668E+03
    0.13231E-03    0.69033E+03
    0.13499E-03    0.70426E+03
    0.13771E-03    0.71847E+03
    0.14049E-03    0.73297E+03
    0.14333E-03    0.74775E+03
    0.14623E-03    0.76284E+03
    0.14918E-03    0.77823E+03
    0.15220E-03    0.79393E+03
    0.15527E-03    0.80994E+03
    0.15841E-03    0.82628E+03
    0.16161E-03    0.84294E+03
    0.16487E-03    0.85994E+03
    0.16820E-03    0.87728E+03
    0.17160E-03    0.89497E+03
    0.17507E-03    0.91301E+03
    0.17860E-03    0.93142E+03
    0.18221E-03    0.95020E+03
    0.18589E-03    0.96935E+03
    0.18965E-03    0.98889E+03
    0.19348E-03    0.10088E+04
    0.19739E-03    0.10292E+04
    0.20138E-03    0.10499E+04
    0.20544E-03    0.10710E+04
    0.20959E-03    0.10926E+04
    0.21383E-03    0.11146E+04
    0.21815E-03    0.11371E+04
    0.22255E-03    0.11600E+04
    0.22705E-03    0.11833E+04
    0.23164E-03    0.12072E+04
    0.23632E-03    0.12315E+04
    0.24109E-03    0.12563E+04
    0.24596E-03    0.12815E+04
    0.25093E-03    0.13073E+04
    0.25600E-03    0.13336E+04
    0.26117E-03    0.13605E+04
    0.26645E-03    0.13878E+04
    0.27183E-03    0.14157E+04
    0.27732E-03    0.14442E+04
    0.28292E-03    0.14732E+04
    0.28864E-03    0.15028E+04
    0.29447E-03    0.15330E+04
    0.30042E-03    0.15638E+04
    0.30649E-03    0.15953E+04
    0.31268E-03    0.16273E+04
    0.31899E-03    0.16600E+04
    0.32544E-03    0.16933E+04
    0.33201E-03    0.17273E+04
