#    L    TT             EE             TE          
     2    0.10870E+04    0.56777E-01    0.30809E+01
     3    0.10090E+04    0.98451E-01    0.40812E+01
     4    0.93777E+03    0.11704E+00    0.43462E+01
     5    0.88274E+03    0.11007E+00    0.41393E+01
     6    0.84269E+03    0.86406E-01    0.36980E+01
     7    0.81508E+03    0.58212E-01    0.31552E+01
     8    0.79677E+03    0.34716E-01    0.25906E+01
     9    0.78539E+03    0.19697E-01    0.20781E+01
    10    0.77948E+03    0.12398E-01    0.16617E+01
    11    0.77771E+03    0.99200E-02    0.13567E+01
    12    0.78004E+03    0.92702E-02    0.11612E+01
    13    0.78456E+03    0.86821E-02    0.10591E+01
    14    0.79050E+03    0.78026E-02    0.10321E+01
    15    0.79809E+03    0.69872E-02    0.10602E+01
    16    0.80759E+03    0.66330E-02    0.11240E+01
    17    0.81875E+03    0.68524E-02    0.12038E+01
    18    0.83049E+03    0.74471E-02    0.12838E+01
    19    0.84392E+03    0.81084E-02    0.13565E+01
    20    0.85761E+03    0.86136E-02    0.14142E+01
    21    0.87170E+03    0.89340E-02    0.14565E+01
    22    0.88625E+03    0.92109E-02    0.14854E+01
    23    0.90107E+03    0.96291E-02    0.15054E+01
    24    0.91623E+03    0.10317E-01    0.15212E+01
    25    0.93174E+03    0.11310E-01    0.15370E+01
    26    0.94746E+03    0.12577E-01    0.15571E+01
    27    0.96356E+03    0.14068E-01    0.15809E+01
    28    0.97983E+03    0.15765E-01    0.16080E+01
    29    0.99641E+03    0.17678E-01    0.16372E+01
    30    0.10133E+04    0.19830E-01    0.16656E+01
    31    0.10304E+04    0.22235E-01    0.16904E+01
    32    0.10477E+04    0.24872E-01    0.17085E+01
    33    0.10653E+04    0.27706E-01    0.17166E+01
    34    0.10832E+04    0.30713E-01    0.17123E+01
    35    0.11014E+04    0.33893E-01    0.16960E+01
    36    0.11198E+04    0.37263E-01    0.16674E+01
    37    0.11383E+04    0.40860E-01    0.16275E+01
    38    0.11571E+04    0.44722E-01    0.15794E+01
    39    0.11762E+04    0.48844E-01    0.15237E+01
    40    0.11954E+04    0.53210E-01    0.14604E+01
    41    0.12149E+04    0.57817E-01    0.13894E+01
    42    0.12345E+04    0.62677E-01    0.13102E+01
    43    0.12541E+04    0.67805E-01    0.12222E+01
    44    0.12739E+04    0.73201E-01    0.11260E+01
    45    0.12940E+04    0.78878E-01    0.10220E+01
    46    0.13144E+04    0.84841E-01    0.90829E+00
    47    0.13349E+04    0.91071E-01    0.78339E+00
    48    0.13555E+04    0.97547E-01    0.64853E+00
    49    0.13763E+04    0.10423E+00    0.50433E+00
    50    0.13974E+04    0.11106E+00    0.34467E+00
    51    0.14187E+04    0.11799E+00    0.16300E+00
    52    0.14403E+04    0.12516E+00   -0.43105E-01
    53    0.14620E+04    0.13273E+00   -0.27318E+00
    54    0.14835E+04    0.14074E+00   -0.51881E+00
    55    0.15052E+04    0.14921E+00   -0.77146E+00
