1.000 0.002 0.007 0.017 0.051 0.049 0.030 0.024 0.013 0.009 0.007 0.005 0.004
0.002 1.000 0.016 0.046 0.132 0.132 0.084 0.063 0.033 0.022 0.018 0.013 0.012
0.007 0.016 1.000 0.087 0.236 0.275 0.185 0.120 0.065 0.044 0.034 0.026 0.022
0.017 0.046 0.087 1.000 0.331 0.464 0.348 0.200 0.113 0.077 0.061 0.047 0.038
0.051 0.132 0.236 0.331 1.000 0.618 0.492 0.307 0.197 0.141 0.116 0.091 0.072
0.049 0.132 0.275 0.464 0.618 1.000 0.643 0.465 0.356 0.273 0.237 0.192 0.149
0.030 0.084 0.185 0.348 0.492 0.643 1.000 0.677 0.593 0.481 0.430 0.355 0.276
0.024 0.063 0.120 0.200 0.307 0.465 0.677 1.000 0.809 0.684 0.623 0.525 0.414
0.013 0.033 0.065 0.113 0.197 0.356 0.593 0.809 1.000 0.856 0.789 0.694 0.566
0.009 0.022 0.044 0.077 0.141 0.273 0.481 0.684 0.856 1.000 0.926 0.879 0.770
0.007 0.018 0.034 0.061 0.116 0.237 0.430 0.623 0.789 0.926 1.000 0.959 0.897
0.005 0.013 0.026 0.047 0.091 0.192 0.355 0.525 0.694 0.879 0.959 1.000 0.960
0.004 0.012 0.022 0.038 0.072 0.149 0.276 0.414 0.566 0.770 0.897 0.960 1.000
