#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.190370E+08   0.190370E+08   0.247344E+08   0.247334E+08   0.000000E+00   0.190370E+08   0.190370E+08   0.190440E+08  -0.467511E+00   0.976344E+07   0.976344E+07   0.372822E-01
   0.117766E-03   0.190350E+08   0.190350E+08   0.236529E+08   0.236504E+08   0.000000E+00   0.190350E+08   0.190350E+08   0.190417E+08  -0.467446E+00   0.976235E+07   0.976235E+07   0.613439E-01
   0.194163E-03   0.190294E+08   0.190294E+08   0.209276E+08   0.209215E+08   0.000000E+00   0.190294E+08   0.190294E+08   0.190353E+08  -0.467272E+00   0.975943E+07   0.975943E+07   0.100598E+00
   0.320121E-03   0.190145E+08   0.190145E+08   0.149094E+08   0.148983E+08   0.000000E+00   0.190145E+08   0.190145E+08   0.190187E+08  -0.466825E+00   0.975169E+07   0.975169E+07   0.163600E+00
   0.527790E-03   0.189767E+08   0.189767E+08   0.574790E+07   0.573970E+07   0.000000E+00   0.189767E+08   0.189767E+08   0.189783E+08  -0.465751E+00   0.973195E+07   0.973195E+07   0.261330E+00
   0.870178E-03   0.188876E+08   0.188875E+08   0.104118E+07   0.104525E+07   0.000000E+00   0.188876E+08   0.188876E+08   0.188879E+08  -0.463440E+00   0.968556E+07   0.968556E+07   0.406463E+00
   0.143468E-02   0.186973E+08   0.186971E+08   0.174482E+06   0.175806E+06   0.000000E+00   0.186973E+08   0.186973E+08   0.186973E+08  -0.458736E+00   0.958745E+07   0.958745E+07   0.619328E+00
   0.236539E-02   0.183221E+08   0.183215E+08  -0.915097E+05  -0.915421E+05   0.000000E+00   0.183220E+08   0.183220E+08   0.183220E+08  -0.449515E+00   0.939484E+07   0.939484E+07   0.931078E+00
   0.389987E-02   0.176348E+08   0.176331E+08  -0.323967E+05  -0.324082E+05   0.000000E+00   0.176345E+08   0.176345E+08   0.176345E+08  -0.432645E+00   0.904220E+07   0.904219E+07   0.138370E+01
   0.409982E-02   0.175428E+08   0.175410E+08  -0.291605E+05  -0.291709E+05   0.000000E+00   0.175425E+08   0.175425E+08   0.175425E+08  -0.430387E+00   0.899502E+07   0.899500E+07   0.143864E+01
   0.431002E-02   0.174459E+08   0.174439E+08  -0.262395E+05  -0.262488E+05   0.000000E+00   0.174455E+08   0.174455E+08   0.174455E+08  -0.428009E+00   0.894530E+07   0.894528E+07   0.149555E+01
   0.453100E-02   0.173438E+08   0.173416E+08  -0.236035E+05  -0.236118E+05   0.000000E+00   0.173435E+08   0.173435E+08   0.173435E+08  -0.425505E+00   0.889296E+07   0.889294E+07   0.155447E+01
   0.476331E-02   0.172365E+08   0.172341E+08  -0.212250E+05  -0.212325E+05   0.000000E+00   0.172361E+08   0.172361E+08   0.172361E+08  -0.422871E+00   0.883791E+07   0.883789E+07   0.161546E+01
