#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.956289E-05   0.201222E+08   0.201222E+08   0.268155E+08   0.268150E+08   0.000000E+00   0.201222E+08   0.201222E+08   0.201305E+08  -0.447935E+00   0.930878E+07   0.930878E+07   0.629693E+01
   0.116265E-04   0.201221E+08   0.201221E+08   0.268088E+08   0.268081E+08   0.000000E+00   0.201221E+08   0.201221E+08   0.201305E+08  -0.447935E+00   0.930878E+07   0.930878E+07   0.765529E+01
   0.141355E-04   0.201221E+08   0.201221E+08   0.267988E+08   0.267978E+08   0.000000E+00   0.201221E+08   0.201221E+08   0.201305E+08  -0.447934E+00   0.930877E+07   0.930877E+07   0.930638E+01
   0.171858E-04   0.201221E+08   0.201221E+08   0.267841E+08   0.267826E+08   0.000000E+00   0.201221E+08   0.201221E+08   0.201305E+08  -0.447933E+00   0.930875E+07   0.930875E+07   0.113131E+02
   0.208944E-04   0.201220E+08   0.201220E+08   0.267624E+08   0.267602E+08   0.000000E+00   0.201220E+08   0.201220E+08   0.201304E+08  -0.447932E+00   0.930873E+07   0.930873E+07   0.137515E+02
   0.254033E-04   0.201220E+08   0.201220E+08   0.267304E+08   0.267271E+08   0.000000E+00   0.201220E+08   0.201220E+08   0.201303E+08  -0.447930E+00   0.930870E+07   0.930870E+07   0.167139E+02
   0.308853E-04   0.201219E+08   0.201219E+08   0.266831E+08   0.266782E+08   0.000000E+00   0.201219E+08   0.201219E+08   0.201302E+08  -0.447927E+00   0.930865E+07   0.930865E+07   0.203116E+02
   0.375501E-04   0.201217E+08   0.201217E+08   0.266133E+08   0.266061E+08   0.000000E+00   0.201217E+08   0.201217E+08   0.201300E+08  -0.447923E+00   0.930858E+07   0.930858E+07   0.246782E+02
   0.456533E-04   0.201215E+08   0.201215E+08   0.265104E+08   0.264999E+08   0.000000E+00   0.201215E+08   0.201215E+08   0.201298E+08  -0.447917E+00   0.930848E+07   0.930847E+07   0.299741E+02
   0.555050E-04   0.201212E+08   0.201212E+08   0.263590E+08   0.263436E+08   0.000000E+00   0.201212E+08   0.201212E+08   0.201294E+08  -0.447907E+00   0.930832E+07   0.930832E+07   0.363894E+02
   0.674827E-04   0.201207E+08   0.201207E+08   0.261367E+08   0.261140E+08   0.000000E+00   0.201207E+08   0.201207E+08   0.201289E+08  -0.447894E+00   0.930810E+07   0.930809E+07   0.441471E+02
   0.820451E-04   0.201200E+08   0.201200E+08   0.258112E+08   0.257780E+08   0.000000E+00   0.201200E+08   0.201200E+08   0.201281E+08  -0.447873E+00   0.930776E+07   0.930775E+07   0.535038E+02
   0.997501E-04   0.201190E+08   0.201189E+08   0.253369E+08   0.252885E+08   0.000000E+00   0.201190E+08   0.201190E+08   0.201269E+08  -0.447844E+00   0.930727E+07   0.930725E+07   0.647459E+02
   0.121276E-03   0.201174E+08   0.201173E+08   0.246504E+08   0.245804E+08   0.000000E+00   0.201174E+08   0.201174E+08   0.201251E+08  -0.447800E+00   0.930655E+07   0.930652E+07   0.781764E+02
   0.147446E-03   0.201152E+08   0.201150E+08   0.236667E+08   0.235666E+08   0.000000E+00   0.201152E+08   0.201152E+08   0.201225E+08  -0.447736E+00   0.930548E+07   0.930544E+07   0.940859E+02
   0.179264E-03   0.201119E+08   0.201116E+08   0.222785E+08   0.221376E+08   0.000000E+00   0.201118E+08   0.201118E+08   0.201188E+08  -0.447642E+00   0.930392E+07   0.930386E+07   0.112695E+03
   0.217949E-03   0.201070E+08   0.201067E+08   0.203631E+08   0.201697E+08   0.000000E+00   0.201070E+08   0.201070E+08   0.201133E+08  -0.447507E+00   0.930162E+07   0.930153E+07   0.134050E+03
   0.264981E-03   0.201000E+08   0.200994E+08   0.178085E+08   0.175526E+08   0.000000E+00   0.200999E+08   0.200999E+08   0.201054E+08  -0.447311E+00   0.929827E+07   0.929814E+07   0.157861E+03
   0.322163E-03   0.200897E+08   0.200889E+08   0.145726E+08   0.142525E+08   0.000000E+00   0.200895E+08   0.200895E+08   0.200941E+08  -0.447033E+00   0.929340E+07   0.929323E+07   0.183258E+03
   0.391684E-03   0.200749E+08   0.200738E+08   0.107854E+08   0.104189E+08   0.000000E+00   0.200747E+08   0.200747E+08   0.200780E+08  -0.446642E+00   0.928640E+07   0.928616E+07   0.208508E+03
   0.476207E-03   0.200538E+08   0.200524E+08   0.687061E+07   0.650801E+07   0.000000E+00   0.200536E+08   0.200536E+08   0.200557E+08  -0.446103E+00   0.927644E+07   0.927610E+07   0.230815E+03
   0.578970E-03   0.200243E+08   0.200222E+08   0.356310E+07   0.328692E+07   0.000000E+00   0.200239E+08   0.200239E+08   0.200250E+08  -0.445374E+00   0.926244E+07   0.926202E+07   0.246497E+03
   0.703909E-03   0.199833E+08   0.199807E+08   0.158281E+07   0.146955E+07   0.000000E+00   0.199829E+08   0.199829E+08   0.199833E+08  -0.444406E+00   0.924314E+07   0.924261E+07   0.251892E+03
   0.855809E-03   0.199277E+08   0.199243E+08   0.915564E+06   0.954524E+06   0.000000E+00   0.199271E+08   0.199271E+08   0.199274E+08  -0.443131E+00   0.921702E+07   0.921639E+07   0.244922E+03
   0.104049E-02   0.198532E+08   0.198492E+08   0.599194E+06   0.670336E+06   0.000000E+00   0.198525E+08   0.198525E+08   0.198527E+08  -0.441454E+00   0.918224E+07   0.918154E+07   0.226121E+03
   0.126502E-02   0.197549E+08   0.197504E+08   0.154599E+06   0.193923E+06   0.000000E+00   0.197541E+08   0.197541E+08   0.197541E+08  -0.439253E+00   0.913653E+07   0.913578E+07   0.197903E+03
   0.153801E-02   0.196266E+08   0.196218E+08   0.523598E+05  -0.323300E+06   0.000000E+00   0.196257E+08   0.196257E+08   0.196257E+08  -0.436388E+00   0.907704E+07   0.907629E+07   0.164125E+03
   0.186990E-02   0.194610E+08   0.194563E+08  -0.661028E+05  -0.216850E+06   0.000000E+00   0.194602E+08   0.194602E+08   0.194601E+08  -0.432703E+00   0.900037E+07   0.899964E+07   0.130824E+03
   0.227342E-02   0.192499E+08   0.192452E+08  -0.381522E+05  -0.145101E+06   0.000000E+00   0.192490E+08   0.192490E+08   0.192490E+08  -0.428006E+00   0.890264E+07   0.890193E+07   0.103624E+03
   0.276401E-02   0.189837E+08   0.189788E+08  -0.348190E+05  -0.968008E+05   0.000000E+00   0.189828E+08   0.189828E+08   0.189828E+08  -0.422085E+00   0.877946E+07   0.877876E+07   0.843290E+02
   0.336047E-02   0.186523E+08   0.186469E+08  -0.469942E+05  -0.643418E+05   0.000000E+00   0.186513E+08   0.186513E+08   0.186513E+08  -0.414713E+00   0.862612E+07   0.862542E+07   0.694644E+02
   0.408564E-02   0.182450E+08   0.182389E+08  -0.316928E+05  -0.425766E+05   0.000000E+00   0.182439E+08   0.182439E+08   0.182439E+08  -0.405653E+00   0.843766E+07   0.843697E+07   0.561507E+02
   0.496730E-02   0.177506E+08   0.177437E+08  -0.254009E+05  -0.280227E+05   0.000000E+00   0.177494E+08   0.177494E+08   0.177494E+08  -0.394657E+00   0.820893E+07   0.820825E+07   0.457087E+02
   0.603922E-02   0.171581E+08   0.171497E+08  -0.179577E+05  -0.183245E+05   0.000000E+00   0.171566E+08   0.171566E+08   0.171566E+08  -0.381476E+00   0.793476E+07   0.793408E+07   0.371342E+02
   0.734245E-02   0.164561E+08   0.164459E+08  -0.120854E+05  -0.118894E+05   0.000000E+00   0.164543E+08   0.164543E+08   0.164543E+08  -0.365860E+00   0.760995E+07   0.760929E+07   0.300525E+02
   0.892691E-02   0.156360E+08   0.156231E+08  -0.180205E+03  -0.764221E+04   0.000000E+00   0.156337E+08   0.156337E+08   0.156337E+08  -0.347613E+00   0.723042E+07   0.722977E+07   0.243885E+02
   0.108533E-01   0.146825E+08   0.146659E+08  -0.396173E+04  -0.485454E+04   0.000000E+00   0.146795E+08   0.146795E+08   0.146795E+08  -0.326397E+00   0.678912E+07   0.678848E+07   0.198878E+02
   0.131954E-01   0.135944E+08   0.135728E+08  -0.602070E+03  -0.304057E+04   0.000000E+00   0.135905E+08   0.135905E+08   0.135905E+08  -0.302184E+00   0.628549E+07   0.628484E+07   0.163194E+02
   0.160429E-01   0.123568E+08   0.123290E+08  -0.222873E+04  -0.186953E+04   0.000000E+00   0.123518E+08   0.123518E+08   0.123518E+08  -0.274641E+00   0.571261E+07   0.571196E+07   0.134465E+02
   0.195048E-01   0.109837E+08   0.109486E+08  -0.682684E+03  -0.112405E+04   0.000000E+00   0.109774E+08   0.109774E+08   0.109774E+08  -0.244082E+00   0.507698E+07   0.507633E+07   0.111007E+02
   0.234058E-01   0.960078E+07   0.955879E+07  -0.247426E+03  -0.682175E+03   0.000000E+00   0.959322E+07   0.959322E+07   0.959322E+07  -0.213305E+00   0.443681E+07   0.443617E+07   0.919393E+01
   0.273068E-01   0.839796E+07   0.835134E+07  -0.106197E+03  -0.438313E+03   0.000000E+00   0.838957E+07   0.838957E+07   0.838957E+07  -0.186541E+00   0.388014E+07   0.387951E+07   0.768319E+01
   0.312078E-01   0.737813E+07   0.732959E+07  -0.166259E+03  -0.294780E+03   0.000000E+00   0.736939E+07   0.736939E+07   0.736939E+07  -0.163858E+00   0.340832E+07   0.340773E+07   0.639262E+01
   0.351087E-01   0.653729E+07   0.648959E+07  -0.864526E+02  -0.206344E+03   0.000000E+00   0.652870E+07   0.652870E+07   0.652870E+07  -0.145165E+00   0.301951E+07   0.301896E+07   0.525054E+01
   0.390097E-01   0.586244E+07   0.581801E+07  -0.850252E+02  -0.149877E+03   0.000000E+00   0.585444E+07   0.585444E+07   0.585444E+07  -0.130173E+00   0.270767E+07   0.270717E+07   0.423919E+01
   0.429107E-01   0.533017E+07   0.529078E+07   0.628183E+02  -0.112622E+03   0.000000E+00   0.532308E+07   0.532308E+07   0.532308E+07  -0.118358E+00   0.246191E+07   0.246148E+07   0.336130E+01
   0.468116E-01   0.491985E+07   0.488646E+07   0.487294E+02  -0.873572E+02   0.000000E+00   0.491384E+07   0.491384E+07   0.491384E+07  -0.109259E+00   0.227263E+07   0.227226E+07   0.262556E+01
   0.507126E-01   0.459511E+07   0.456782E+07   0.387887E+02  -0.695310E+02   0.000000E+00   0.459020E+07   0.459020E+07   0.459020E+07  -0.102063E+00   0.212294E+07   0.212263E+07   0.203464E+01
   0.546136E-01   0.432661E+07   0.430481E+07   0.314982E+02  -0.564579E+02   0.000000E+00   0.432269E+07   0.432269E+07   0.432269E+07  -0.961146E-01   0.199921E+07   0.199895E+07   0.158484E+01
   0.585145E-01   0.409018E+07   0.407270E+07   0.259439E+02  -0.464994E+02   0.000000E+00   0.408703E+07   0.408703E+07   0.408703E+07  -0.908748E-01   0.189022E+07   0.189000E+07   0.126384E+01
   0.624155E-01   0.386731E+07   0.385273E+07   0.215624E+02  -0.386450E+02   0.000000E+00   0.386468E+07   0.386468E+07   0.386468E+07  -0.859310E-01   0.178738E+07   0.178719E+07   0.105220E+01
   0.663165E-01   0.364683E+07   0.363369E+07   0.180119E+02  -0.322815E+02   0.000000E+00   0.364446E+07   0.364446E+07   0.364446E+07  -0.810344E-01   0.168553E+07   0.168535E+07   0.925834E+00
   0.702175E-01   0.342405E+07   0.341111E+07   0.150839E+02  -0.270346E+02   0.000000E+00   0.342172E+07   0.342172E+07   0.342172E+07  -0.760816E-01   0.158252E+07   0.158234E+07   0.858879E+00
   0.741184E-01   0.319968E+07   0.318605E+07   0.126492E+02  -0.226720E+02   0.000000E+00   0.319723E+07   0.319723E+07   0.319723E+07  -0.710901E-01   0.147869E+07   0.147851E+07   0.826731E+00
   0.780194E-01   0.297947E+07   0.296470E+07   0.106284E+02  -0.190512E+02   0.000000E+00   0.297681E+07   0.297681E+07   0.297681E+07  -0.661892E-01   0.137676E+07   0.137657E+07   0.808643E+00
   0.819204E-01   0.277065E+07   0.275472E+07   0.896281E+01  -0.160668E+02   0.000000E+00   0.276778E+07   0.276778E+07   0.276778E+07  -0.615414E-01   0.128008E+07   0.127989E+07   0.789128E+00
   0.867524E-01   0.253804E+07   0.252119E+07   0.731960E+01  -0.131221E+02   0.000000E+00   0.253501E+07   0.253501E+07   0.253501E+07  -0.563657E-01   0.117243E+07   0.117224E+07   0.749164E+00
   0.915844E-01   0.234315E+07   0.232628E+07   0.606248E+01  -0.108689E+02   0.000000E+00   0.234011E+07   0.234011E+07   0.234011E+07  -0.520321E-01   0.108229E+07   0.108210E+07   0.686341E+00
   0.964164E-01   0.218923E+07   0.217335E+07   0.511070E+01  -0.916245E+01   0.000000E+00   0.218637E+07   0.218637E+07   0.218637E+07  -0.486137E-01   0.101119E+07   0.101101E+07   0.604588E+00
   0.101248E+00   0.207203E+07   0.205793E+07   0.438696E+01  -0.786454E+01   0.000000E+00   0.206949E+07   0.206949E+07   0.206949E+07  -0.460150E-01   0.957131E+06   0.956975E+06   0.513922E+00
